client_id,full_name,date_of_birth,gender,nationality_code,height_cm,weight_kg,hair_color,eye_color,spoken_languages,match_label,matched_sanction_id
C000001,MUKHAMMED ASHRAF,1997-11-15,M,kg,1.71,,BLA,nan,RUS,0,
C000002,JOZO SOLTANOV,1974-12-07,F,mx,,0.0,nan,BRO,AZE,0,
C000003,ALEXEY MAKHMUDOVA,1983-02-08,M,ro,1.72,,nan,nan,SPA,0,
C000004,ZAUR PORTILLO,1982-11-24,M,ru,,0.0,nan,BROH,ARA,0,
C000005,MAURICIO RIVERO,1993-01-28,F,ru,1.85,0.0,nan,BLU,SPA,0,
C000006,GERMAN PINEDA,1961-01-20,F,ru,1.7,55.0,OTHD,nan,ABK,0,
C000007,VICTOR HERNANDEZ,1997-07-11,M,ru,1.85,0.0,nan,nan,ARA,0,
C000008,AZAMAT SAGIEV,1971-04-22,M,hn,1.65,100.0,BLA,OTHL,RUS,0,
C000009,CHRISTOPHER DOBRININ,1989-08-11,M,ru,1.78,68.0,nan,nan,RUS,0,
C000010,ADRIANA HERLINDA AARNGO JARAMILLO,1973-09-09,F,co,,0.0,BRO,BRO,ENG,1,interpol-red-2008-17711
C000011,MIGUEL HERNÁNDEZ,1975-12-02,M,ru,,0.0,nan,BLA,nan,0,
C000012,ROSIRENE GUKETLOV,1982-08-04,M,rs,,80.0,nan,nan,RUS,0,
C000013,ZALIMKHAN SOTO,1989-12-05,M,sz,1.65,0.0,BLA,BRO,nan,0,
C000014,MIA SHAVKHALOV,1984-07-07,M,ru,1.73,,OTHD,BRO,SPA,0,
C000015,SAKRAT PEREIRA,1937-11-24,M,us,,0.0,OTHD,BROL,RUS,0,
C000016,ZAIRA MATAEV,1987-10-23,M,ua,,,nan,BLU,FRE,0,
C000017,KHAKIM HUSSEN,1988-01-25,M,ua,1.65,80.0,nan,nan,nan,0,
C000018,EDGAR VOROBIEV,1962-09-01,M,ba,,90.0,nan,GRE,KUM,0,
C000019,MARTIN JAADI,1940-03-20,M,il,,0.0,nan,nan,ENG,0,
C000020,RASHID NADOUR,1990-04-03,M,ru,,0.0,nan,nan,CHE,0,
C000021,JOAO SHAPIAEV,1995-08-02,M,in,,57.0,nan,nan,URD,0,
C000022,DMITRII JIMENEZ,1995-06-22,M,ru,,85.0,BLA,BRO,URD,0,
C000023,MUSA GADJIALIEV,1963-05-04,F,az,1.77,0.0,BLA,GRE,RUS,0,
C000024,SHAHID AZIZOV,1971-11-23,M,az,1.79,70.0,nan,nan,SPA,0,
C000025,ALINA HUSSAIN,1989-07-15,M,mx,1.7,0.0,OTHD,BROD,ENG,0,
C000026,HECTOR ALVAREZ,1979-03-20,M,sy,,60.0,nan,BRO,TAT,0,
C000027,SERHII OBIDIOZOR,1966-01-16,M,th,1.65,,OTHD,BLU,RUS,0,
C000028,ALI CRUZ,1989-01-23,M,ru,,0.0,OTHD,nan,SPA,0,
C000029,ISMAIL GOMEZ,nan,M,jm,,0.0,BLA,nan,CHE,0,
C000030,MINGXIAN GALIMOV,1994-09-30,M,ru,1.7,0.0,nan,nan,RUS,0,
C000031,IILAS SABIROV,1978-04-18,M,kg,0.8,80.0,BLA,BLA,TUR,1,NK-9tGJZWfbKsF7nqx8sU7L3z
C000032,ABDUL ISMAILOVA,1974-06-20,M,ru,1.76,0.0,BRO,nan,RUS,0,
C000033,AHMET MARQUEZ,1991-08-12,M,cr,1.87,56.0,nan,nan,RUS,0,
C000034,FABIO GARCIA,1962-02-17,M,ru,1.7,0.0,BLA,nan,SPA,0,
