client_id,full_name,date_of_birth,gender,nationality_code,height_m,weight_kg,hair_color,eye_color,spoken_languages,match_label,matched_sanction_id
C000001,ABDUL PIRAEVA,1997-03-06,M,kz,1.62,,BLA,BLA,RUS,0,interpol-red-1997-3388
C000002,JORGE MEDZHIDOV,1980-12-20,M,is,,0.0,,,RUS,0,interpol-red-2002-803
C000003,MAYRA ALVAREZ,1973-05-03,M,ru,,55.0,,BRO,RUS,0,interpol-red-2023-30594
C000004,JOSE BENÍTEZ,1970-06-17,M,us,,54.0,,,CHE,0,Q553191
C000005,GERMÁN KHAMIDKHANOV,1990-09-21,M,ru,,,OTHD,,ENG,0,interpol-red-2012-325494
C000006,DZHAMBULAT RODRIGUEZ,1982-04-16,M,ru,,64.0,,,RUS,0,interpol-red-2016-61471
C000007,TIMUR BONILLA,1991-02-25,M,ru,,0.0,BLA,GRY,ENG,0,interpol-red-2018-22973
C000008,SHUKHRAT GALIMBERTI,1990-09-18,F,ua,1.67,0.0,BROF,,SPA,0,interpol-red-2018-86161
C000009,ASLAN ALIEV,1989-02-05,M,sz,,0.0,,BROH,SSW,0,interpol-red-2018-107533
C000010,ADRIANA HERLINDAA RANGO JARAMILLO,1962-09-09,F,co,,0.0,BRO,BRO,ENG,1,interpol-red-2008-17711
C000011,HERNAN AMZAOUROU,1969-11-23,M,in,1.7,66.0,BLA,BLA,SPA,0,interpol-red-2009-37903
C000012,SHAMALAY OZDOEVA,1978-04-03,M,ru,,0.0,,,RUS,0,interpol-red-2016-53900
C000013,JUAN MAHAURI,1990-03-18,M,ru,1.65,90.0,BLA,,URD,0,interpol-red-2017-131686
C000014,SANTIAGO SINGH,1983-01-09,M,ru,,0.0,,BROH,TGK,0,interpol-red-2022-12227
C000015,YAKHYABEG REYES,1987-09-26,M,ru,,0.0,OTHD,,RUS,0,interpol-red-2016-26817
C000016,WALTER KERIMOV,1961-08-08,M,,1.68,0.0,BLA,BLA,RUS,0,interpol-red-2020-76523
C000017,VICTOR OMAROV,1986-03-13,M,ru,1.7,0.0,,,SPA,0,interpol-red-2018-11464
C000018,EDVIN TAIMYSKHANOV,1984-06-17,F,ru,,0.0,BLA,BROH,ENG,0,interpol-red-2016-73261
C000019,JAIME MUSAEV,1973-12-26,M,ca,,,,OTHL,SPA,0,interpol-red-2019-105774
C000020,RAGILYA ABDULLAEVA,1929-01-15,F,sy,,75.0,GRYG,,SPA,0,interpol-red-2017-131453
C000021,HERSON VEETTIL,1993-11-28,M,ru,1.7,0.0,BLA,,RUS,0,interpol-red-2015-80035
C000022,KAMIL ADAM,1985-01-31,M,ni,1.7,,,OTHD,ARA,0,interpol-red-2014-25540
C000023,KHAVA GULIEV,1989-12-31,M,ru,1.73,77.0,,BLA,MOL,0,interpol-red-2019-99543
C000024,GLOVER WALKER,1957-09-10,M,jo,,,OTHD,OTHD,SPA,0,interpol-red-1997-2143
C000025,IZAURA KAHRIMANOVIC,1990-05-10,F,sv,,0.0,,,ARA,0,interpol-red-2020-10562
C000026,FERNANDO HURAYAEV,1985-10-11,M,ru,,0.0,,,MNI,0,interpol-red-2018-87293
C000027,MARIO MITATE,1974-08-11,M,ca,,0.0,,BROH,SPA,0,NK-KRjSzRzRDK2Zh2Kx8bshk5
C000028,CHINGISKHAN DOUCOURE,1983-11-24,M,sv,1.62,53.0,,BLA,CHE,0,interpol-red-2016-69743
C000029,MFUNDO SALDUMBIDE,1940-04-23,M,cn,1.8,0.0,,BROH,CHE,0,interpol-red-2018-67034
C000030,IGOR GANDILYAN,1954-03-09,M,ru,1.75,,OTHD,,SPA,0,interpol-red-2020-56059
C000031,ILIS SABIROV,1977-01-19,M,kg,1.7949667323268874,80.0,BLA,BLA,TUR,1,NK-9tGJZWfbKsF7nqx8sU7L3z
C000032,STANISLAV DADAEV,1946-12-17,F,ru,,0.0,BLA,BLA,RUS,0,interpol-red-2020-2535
C000033,WALTER VELIZ,1958-02-18,M,kg,,0.0,BRO,,,0,interpol-red-2014-43094
C000034,KHAVA ROOINTAN,,F,pk,1.73,,,,TAM,0,interpol-red-2018-77007
C000035,ARTUR HERRERA,1989-01-19,M,ba,,0.0,,,LEZ,0,NK-ReYGFhVia6TXpaB5Nqwhyo
C000036,OVIDIO MEER,1980-01-01,M,pk,1.62,0.0,BLA,OTHD,LEZ,0,interpol-red-2018-97111
C000037,LIANA DANIELYAN,1969-06-03,M,ru,,0.0,,,SPA,0,interpol-red-2017-293501
C000038,GRIGORRDE UTA,1983-01-19,M,md,,0.0,,,RUM,1,interpol-red-2015-72647
C000039,HUY URVINA,1971-01-21,M,ru,,0.0,,,RUS,0,interpol-red-2021-8703
C000040,ZEESAN PEÑARANDA,1985-08-26,M,ru,1.73,0.0,,BRO,RUS,0,interpol-red-2017-7858
C000041,SHUKRULLO GOMEZ,1989-06-13,M,kg,1.68,0.0,,BROL,RUS,0,NK-EnzYibjkHXN3hkSeDq7PBQ
C000042,ISMLAI ABDO,1992-06-03,M,se,1.7356106429249085,,,,ENG,1,Q131144277
C000043,KHUSEYN PINNACE,1979-07-06,M,ru,,74.5,BRO,BROH,FRE,0,interpol-red-2015-86170
C000044,RAFAEL ISAEV,1977-06-19,M,ge,1.7,0.0,OTHD,,ENG,0,interpol-red-2025-81361
C000045,HERMAN OPORTO,1985-10-08,M,ru,,0.0,BLA,,HIN,0,interpol-red-2020-33390
C000046,YUUSUP BATAEV,1987-11-24,M,ru,,0.0,,,RUS,1,interpol-red-2016-31316
C000047,ALIM DOTSENKO,1980-02-09,M,ru,1.65,0.0,,,RUS,0,interpol-red-2014-79727
C000048,SHAMSUTDIN GALOCHKIN,1982-12-31,M,pk,,0.0,,OTHD,TUR,0,NK-WY8Te9EbqyDvi2d4pG6dpe
C000049,DONALD ZOUREK,1990-12-21,M,ru,1.6,0.0,,BLA,SPA,0,interpol-red-2014-14046
C000050,SEFER SINGH,1940-11-05,M,pk,1.73,83.0,,,RUS,0,interpol-red-2020-27787
C000051,ALEKSANDR KENZHIBAEV,1983-07-26,F,ru,,0.0,,,,0,interpol-red-2011-41517
C000052,KARANAY GOLOEV,1973-06-11,M,in,1.7,0.0,BLA,BLA,POR,0,interpol-red-2025-85162
C000053,ERIC AVCHAEV,1951-06-08,M,ru,,0.0,,,RUS,0,interpol-red-2014-32447
C000054,SHUKHRAT STAMENOV,1985-05-02,M,ge,1.82,80.0,,,SPA,0,NK-KAxv2xWusywLknkNnv2K7X
C000055,ARSEN NADARAJA,1990-05-16,M,ru,,0.0,,,RUS,0,interpol-red-2021-3992
C000056,NAZIMODIN GASANOV,1956-08-20,M,fr,,0.0,GRY,,RUS,0,interpol-red-2016-53886
C000057,WALTER SANCHEZ,1954-05-20,F,bo,,0.0,,BLA,RUS,0,interpol-red-2017-5758
C000058,TAMERLAN RASUL,1990-09-28,M,kg,1.73,,BLA,,RUS,0,interpol-red-2010-52246
C000059,MEDARDO COTO,1994-03-03,M,ge,1.7,0.0,,,FRE,0,interpol-red-2018-68413
C000060,FEDOR JUAREZ,1980-06-22,M,tm,,0.0,OTHD,BLA,SPA,0,NK-YDQGyjtK47DGQPfCJgkzKq
C000061,NEZHMITDIN INDERBAEV,1973-07-22,F,sv,1.65,0.0,,BRO,RUS,0,interpol-red-2014-78182
